-12.834,-60.25,59.709,-299.67,0.44213,112.52,-72.174,1395
-13.302,-2.983,-59.709,-310.76,0.88425,22.894,19.628,1103.9
-2.4774,-51.089,59.709,-186.87,1.3263,-394.17,-122.95,1130.8
-17.941,-38.174,179.13,113.15,1.7684,-241.59,-63.207,1316.4
-11.3,-33.039,238.84,210.92,2.2103,-82.084,-62.389,1026.2
13.821,37.227,0,-207.3,2.6522,-286.01,32.219,1413.6
0.072033,-4.1053,-238.84,350.38,3.094,-304.79,23.366,1187.2
5.3378,-9.7207,119.42,-107.27,3.5356,336.01,19.764,1171.6
10.541,37.83,-0,-57.721,3.9771,316.81,-63.4,1415.1
12.004,15.299,179.13,-177.47,4.4185,-68.763,39.135,1364.7
-5.4325,-33.284,0,56.134,4.8596,-51.915,13.003,1198.8
13.328,28.399,-179.13,379.24,5.3006,91.13,94.597,1397.8
-21.514,-37.608,59.709,85.776,5.7414,-107.46,-58.665,1309.9
11,24.785,119.42,203.65,6.1819,81.154,-56.869,1295.8
-3.5441,-16.539,-238.84,190.54,6.6222,-283.48,-36.408,1294.2
6.2331,24.877,-179.13,-71.787,7.0623,-38.23,47.37,1344.4
1.8845,40.642,-179.13,305.46,7.5021,36.315,20.397,1250.9
4.5127,4.4348,-238.84,179.22,7.9415,140.9,70.716,1129.9
5.6766,2.1516,-238.84,269.57,8.3807,185.66,15.754,1201.8
-11.533,-4.6349,59.709,344.21,8.8195,337.4,-6.673,1119.3
7.2647,2.6209,-179.13,288.64,9.258,-244.13,67.848,1117.5
3.772,-4.5424,119.42,340.7,9.6961,295.63,-13.959,1236.3
-1.4145,-8.7715,-119.42,-195.23,10.134,357.81,16.539,1226.3
9.0637,24.705,-238.84,-257.47,10.571,393.08,44.534,1390.4
2.6424,-22.472,-0,37.489,11.008,308.4,14.526,1303.2
18.084,40.887,-59.709,-8.3106,11.445,-12.457,107.21,1314.8
8.8916,43.165,-179.13,-110.17,11.881,-163.1,109.02,1414
9.0437,10.975,-238.84,-33.661,12.316,-9.7518,-1.8812,1255.7
-7.8278,32.611,0,226.84,12.751,-183.98,-8.8209,1403
-3.2048,-26.826,-238.84,-170.64,13.186,239.71,-66.238,1227.4
-14.591,-28.571,119.42,-161.81,13.62,89.787,37.706,1117
1.1383,-1.5614,-238.84,343.1,14.053,54.154,40.127,1321.9
-0.62602,-19.822,-59.709,231.73,14.486,-170.26,-96.86,1335.1
1.905,-1.4488,238.84,318.85,14.919,-72.921,33.127,1254
26.848,12.033,-0,142.55,15.35,-59.298,110.99,1616.7
8.2861,-37.69,-238.84,111.48,15.782,-93.328,-22.638,1204.1
23.105,61.735,238.84,43.126,16.212,-318.39,96.409,1015.6
-7.2115,-14.381,179.13,-51.893,16.642,69.418,-12.261,1345.3
-19.054,-43.159,-59.709,-66.525,17.071,299.73,39.674,1527.9
-2.8429,-28.617,-0,314.94,17.5,234.24,-22.513,1193.3
8.6241,14.509,179.13,207.7,17.928,-380.46,24.876,1127.5
10.879,22.409,59.709,-99.603,18.355,209.37,30.183,1280.1
-5.5111,-29.655,-179.13,73.186,18.781,363.51,-102.47,1111.9
-4.5463,38.631,59.709,-184.08,19.207,325.6,37.511,1362
-2.532,12.863,-119.42,305.27,19.632,22.01,5.7082,1208.9
3.5647,-4.6743,179.13,98.194,20.056,213.77,-30.714,1299
1.3106,14.273,-179.13,-345.73,20.48,325.04,-13.522,1199.2
2.2242,-3.2728,-0,-271.79,20.902,-97.645,-5.1423,1268.5
8.2311,-12.617,-59.709,369.92,21.324,109.91,-34.946,1259
4.4383,-21.814,179.13,-376.15,21.745,-339.59,-23.146,1323.2
-5.6097,-17.464,-0,158.29,22.165,196.5,4.1246,1372.2
15.221,59.787,179.13,-119.21,22.584,217.53,72.093,1031.3
